thisN,thisTrialN,thisRepN,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp.started,mouse.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,positions,ISI.started,blank.started,blank.stopped,ISI.stopped,corsi_present.started,blk1_3.started,blk2_3.started,blk3_3.started,blk4_3.started,blk5_3.started,blk6_3.started,blk7_3.started,blk8_3.started,blk9_3.started,blk1_3.stopped,blk2_3.stopped,blk3_3.stopped,blk4_3.stopped,blk5_3.stopped,blk6_3.stopped,blk7_3.stopped,blk8_3.stopped,blk9_3.stopped,corsi_present.stopped,corsi_respond.started,blk1.started,blk2.started,blk3.started,blk4.started,blk5.started,blk6.started,blk7.started,blk8.started,blk9.started,corsi_mouse.started,submit_button.started,corsi_respond.stopped,corsi_task.corsi_mouse.x,corsi_task.corsi_mouse.y,corsi_task.corsi_mouse.leftButton,corsi_task.corsi_mouse.midButton,corsi_task.corsi_mouse.rightButton,corsi_task.corsi_mouse.time,corsi_task.corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,fbtxt.started,fbtxt.stopped,feedback.stopped,end.started,text_2.started,text_2.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0343132084235549,0.05056795838754624,0.05056795838754624,0.034325333312153816,3.8008262499934062,None,[np.float64(0.2911111111111111)],[np.float64(-0.057777777777777775)],[1],[0],[0],[3.7664016250055283],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
0,0,0,,,,,,,,0,0,0,0,0,0,0,0,4.31716866674833,,,,,,,,,,,,,,"[[-0.0225, 0.395], [0.365, -0.27625], [0.19375, -0.17125], [-0.3575, -0.05625], [-0.26625, 0.235], [-0.16125, -0.28], [-0.35125, 0.36625], [-0.18625, 0.41125], [0.22, 0.2425]]",3.8038513750070706,3.817163291736506,4.31716866674833,4.300685458350927,4.300954541773535,4.31716866674833,4.31716866674833,4.31716866674833,4.31716866674833,4.31716866674833,4.31716866674833,4.31716866674833,4.31716866674833,4.31716866674833,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.800774041796103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
1,0,1,,,,,,,,0,0,0,0,1,0,1,0,4.817160874954425,,,,,,,,,,,,,,,,,,,4.800990041694604,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,4.817160874954425,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.300586458411999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
2,0,2,,,,,,,,0,0,0,0,2,0,2,0,5.317469791742042,,,,,,,,,,,,,,,,,,,5.300781416706741,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.317469791742042,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.800591791747138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
0,0,0,"[np.float64(0.22777777777777777), np.float64(0.19666666666666666), np.float64(-0.14333333333333334), np.float64(0.4777777777777778)]","[np.float64(0.25555555555555554), np.float64(-0.15555555555555556), np.float64(-0.27111111111111114), np.float64(-0.39666666666666667)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.8761150415521115, 1.6760839999187738, 2.376245916588232, 3.259683333337307]","['blk9', 'blk3', 'blk6', None]",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.841374083422124,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,5.8672065833816305,0.04051129170693457,8.23377575003542,9.101636750041507,"[np.float64(0.22777777777777777), np.float64(0.19666666666666666), np.float64(-0.14333333333333334), np.float64(0.4777777777777778)]","[np.float64(0.25555555555555554), np.float64(-0.15555555555555556), np.float64(-0.27111111111111114), np.float64(-0.39666666666666667)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.8761150415521115, 1.6760839999187738, 2.376245916588232, 3.259683333337307]","['blk9', 'blk3', 'blk6', None]","[0, 0, 0]",0,9.103148124995641,9.117052666726522,10.117578291799873,10.100582999992184,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
0,0,0,,,,,,,,1,0,1,0,0,0,0,0,10.617139874957502,,,,,,,,,,,,,,"[[0.05875, -0.0575], [-0.3575, -0.05625], [-0.55125, -0.13375], [0.16625, 0.3825], [-0.485, 0.34625], [0.62875, -0.1825], [0.365, -0.27625], [-0.4075, 0.11875], [-0.45875, -0.3]]",10.101818250026554,10.117578291799873,10.617139874957502,10.600931499968283,10.60120137501508,10.617139874957502,10.617139874957502,10.617139874957502,10.617139874957502,10.617139874957502,10.617139874957502,10.617139874957502,10.617139874957502,10.617139874957502,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.100724666728638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
1,0,1,,,,,,,,1,0,1,0,1,0,1,0,11.117674791719764,,,,,,,,,,,,,,,,,,,11.100953208399005,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.117674791719764,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.60068716679234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
2,0,2,,,,,,,,1,0,1,0,2,0,2,0,11.617178291780874,,,,,,,,,,,,,,,,,,,11.60095650004223,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,11.617178291780874,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.100708041689359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
1,0,1,"[np.float64(-0.36666666666666664), np.float64(-0.36444444444444446), np.float64(0.05555555555555555), np.float64(0.5011111111111111)]","[np.float64(0.1388888888888889), np.float64(-0.06), np.float64(-0.07777777777777778), np.float64(-0.4066666666666667)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.4088855000445619, 0.9586417500395328, 1.5420377500122413, 2.475372458458878]","['blk8', 'blk2', 'blk1', None]",1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.108740624971688,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,12.117060750024393,0.007011208334006369,13.667178750038147,14.584685166715644,"[np.float64(-0.36666666666666664), np.float64(-0.36444444444444446), np.float64(0.05555555555555555), np.float64(0.5011111111111111)]","[np.float64(0.1388888888888889), np.float64(-0.06), np.float64(-0.07777777777777778), np.float64(-0.4066666666666667)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.4088855000445619, 0.9586417500395328, 1.5420377500122413, 2.475372458458878]","['blk8', 'blk2', 'blk1', None]","[0, 1, 0]",0,14.585006000008434,14.600452166749164,15.600976958405226,15.583788333344273,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
0,0,0,,,,,,,,2,0,2,0,0,0,0,0,16.100486583425663,,,,,,,,,,,,,,"[[-0.3575, -0.05625], [-0.45875, -0.3], [0.6375, 0.27375], [-0.285, -0.27125], [-0.4075, 0.11875], [0.57875, -0.31375], [0.25625, 0.0975], [-0.6025, 0.0725], [-0.16125, -0.28]]",15.585023958352394,15.600976958405226,16.100486583425663,16.083818416693248,16.084098124993034,16.100486583425663,16.100486583425663,16.100486583425663,16.100486583425663,16.100486583425663,16.100486583425663,16.100486583425663,16.100486583425663,16.100486583425663,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.584195166709833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
1,0,1,,,,,,,,2,0,2,0,1,0,1,0,16.600713333347812,,,,,,,,,,,,,,,,,,,16.584402375039645,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,16.600713333347812,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.08449308341369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
2,0,2,,,,,,,,2,0,2,0,2,0,2,0,17.10048245836515,,,,,,,,,,,,,,,,,,,17.084707416710444,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.10048245836515,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.584473416791297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
2,0,2,"[np.float64(0.26), np.float64(-0.13777777777777778), np.float64(-0.24888888888888888), np.float64(0.4711111111111111)]","[np.float64(0.09555555555555556), np.float64(-0.29), np.float64(-0.2688888888888889), np.float64(-0.3788888888888889)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.5247304582735524, 1.2247105416608974, 1.6746340000536293, 2.458635791670531]","['blk7', 'blk9', 'blk4', None]",2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.59277712495532,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,17.600414458313026,0.00800658343359828,19.283734541735612,20.052061291760765,"[np.float64(0.26), np.float64(-0.13777777777777778), np.float64(-0.24888888888888888), np.float64(0.4711111111111111)]","[np.float64(0.09555555555555556), np.float64(-0.29), np.float64(-0.2688888888888889), np.float64(-0.3788888888888889)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.5247304582735524, 1.2247105416608974, 1.6746340000536293, 2.458635791670531]","['blk7', 'blk9', 'blk4', None]","[0, 0, 0]",0,20.05240091669839,20.06702904170379,21.067227291758172,21.050571583327837,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
0,0,0,,,,,,,,3,0,3,0,0,0,0,0,21.567341583315283,,,,,,,,,,,,,,"[[0.1925, -0.295], [-0.0225, 0.395], [0.0675, 0.07375], [0.45375, 0.175], [0.05875, -0.0575], [0.22, 0.2425], [-0.55125, -0.13375], [-0.18625, 0.41125], [0.4125, -0.1325]]",21.0517639167374,21.067227291758172,21.567341583315283,21.55052216676995,21.550781499943696,21.567341583315283,21.567341583315283,21.567341583315283,21.567341583315283,21.567341583315283,21.567341583315283,21.567341583315283,21.567341583315283,21.567341583315283,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.050567333353683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
1,0,1,,,,,,,,3,0,3,0,1,0,1,0,22.067097583319992,,,,,,,,,,,,,,,,,,,22.05077191675082,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.067097583319992,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.551546583417803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
2,0,2,,,,,,,,3,0,3,0,2,0,2,0,22.567109999945387,,,,,,,,,,,,,,,,,,,22.551745750010014,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,22.567109999945387,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.050532541703433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
3,0,3,"[np.float64(0.20333333333333334), np.float64(0.4266666666666667), np.float64(0.08), np.float64(0.4677777777777778)]","[np.float64(-0.31), np.float64(-0.16666666666666666), np.float64(-0.058888888888888886), np.float64(-0.37666666666666665)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.4586959999287501, 1.8768873749068007, 2.5420132499421015, 4.575398499961011]","['blk1', 'blk9', 'blk5', None]",3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05874941672664,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,23.066993791726418,0.006599833373911679,25.617305958410725,27.634814374963753,"[np.float64(0.20333333333333334), np.float64(0.4266666666666667), np.float64(0.08), np.float64(0.4677777777777778)]","[np.float64(-0.31), np.float64(-0.16666666666666666), np.float64(-0.058888888888888886), np.float64(-0.37666666666666665)]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.4586959999287501, 1.8768873749068007, 2.5420132499421015, 4.575398499961011]","['blk1', 'blk9', 'blk5', None]","[1, 0, 0]",0,27.63514916668646,27.65050554170739,28.650378791731782,28.63455012498889,,,,,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.636294499970973,28.650378791731782,35.650560791720636,35.63381725002546,sub01,001,2026-03-14_15h04.06.444,corsi_blocks,,2025.1.1,60.0,2026-03-14 15h04.06.594293 +0800,
